Index,Level,TimeCreated,EventID,Provider
3,2,2025-12-28 21:38:36.370247+00:00,1040,Microsoft-Windows-TPM-WMI
16,3,2025-12-28 21:41:47.056322+00:00,10016,Microsoft-Windows-DistributedCOM
17,3,2025-12-28 21:41:47.058331+00:00,10016,Microsoft-Windows-DistributedCOM
29,2,2025-12-28 21:42:18.892159+00:00,7009,Service Control Manager
30,2,2025-12-28 21:42:18.892159+00:00,7000,Service Control Manager
31,3,2025-12-28 21:42:30.687923+00:00,10016,Microsoft-Windows-DistributedCOM
70,2,2025-12-28 21:43:32.808315+00:00,1801,Microsoft-Windows-TPM-WMI
73,3,2025-12-28 21:44:42.452097+00:00,1014,Microsoft-Windows-DNS-Client
77,3,2025-12-28 21:53:49.470882+00:00,10016,Microsoft-Windows-DistributedCOM
80,3,2025-12-28 21:53:56.020927+00:00,10016,Microsoft-Windows-DistributedCOM
81,3,2025-12-28 21:53:56.051891+00:00,10016,Microsoft-Windows-DistributedCOM
82,3,2025-12-28 21:53:58.350725+00:00,10016,Microsoft-Windows-DistributedCOM
83,3,2025-12-28 21:54:00.581690+00:00,10016,Microsoft-Windows-DistributedCOM
92,3,2025-12-29 06:25:40.737959+00:00,10016,Microsoft-Windows-DistributedCOM
93,3,2025-12-29 06:25:40.753960+00:00,10016,Microsoft-Windows-DistributedCOM
94,3,2025-12-29 06:25:43.296326+00:00,10016,Microsoft-Windows-DistributedCOM
95,3,2025-12-29 06:25:43.522871+00:00,10016,Microsoft-Windows-DistributedCOM
121,3,2025-12-29 11:31:13.940098+00:00,4266,Tcpip
138,3,2025-12-29 18:05:43.908421+00:00,10016,Microsoft-Windows-DistributedCOM
139,3,2025-12-29 18:05:43.945419+00:00,10016,Microsoft-Windows-DistributedCOM
140,3,2025-12-29 18:05:46.327257+00:00,10016,Microsoft-Windows-DistributedCOM
141,3,2025-12-29 18:05:47.326447+00:00,10016,Microsoft-Windows-DistributedCOM
187,3,2026-01-01 07:00:29.309610+00:00,10016,Microsoft-Windows-DistributedCOM
192,3,2026-01-01 07:00:47.627701+00:00,10016,Microsoft-Windows-DistributedCOM
193,3,2026-01-01 07:00:47.645700+00:00,10016,Microsoft-Windows-DistributedCOM
194,3,2026-01-01 07:00:50.208351+00:00,10016,Microsoft-Windows-DistributedCOM
195,3,2026-01-01 07:00:50.247866+00:00,10016,Microsoft-Windows-DistributedCOM
205,3,2026-01-01 16:28:16.393557+00:00,34,BTHUSB
234,3,2026-01-02 16:57:00.432150+00:00,34,BTHUSB
318,3,2026-01-03 16:07:10.977369+00:00,10016,Microsoft-Windows-DistributedCOM
319,3,2026-01-03 16:07:10.996880+00:00,10016,Microsoft-Windows-DistributedCOM
320,3,2026-01-03 16:07:13.298218+00:00,10016,Microsoft-Windows-DistributedCOM
321,3,2026-01-03 16:07:13.527239+00:00,10016,Microsoft-Windows-DistributedCOM
328,3,2026-01-03 17:05:46.637941+00:00,1014,Microsoft-Windows-DNS-Client
338,3,2026-01-04 06:46:16.545326+00:00,4266,Tcpip
388,3,2026-01-05 06:29:05.439205+00:00,10016,Microsoft-Windows-DistributedCOM
389,3,2026-01-05 06:29:05.459204+00:00,10016,Microsoft-Windows-DistributedCOM
390,3,2026-01-05 06:29:07.847696+00:00,10016,Microsoft-Windows-DistributedCOM
391,3,2026-01-05 06:29:08.839537+00:00,10016,Microsoft-Windows-DistributedCOM
430,3,2026-01-05 16:07:10.104866+00:00,10016,Microsoft-Windows-DistributedCOM
431,3,2026-01-05 16:07:10.121864+00:00,10016,Microsoft-Windows-DistributedCOM
432,3,2026-01-05 16:07:12.461565+00:00,10016,Microsoft-Windows-DistributedCOM
433,3,2026-01-05 16:07:12.475561+00:00,10016,Microsoft-Windows-DistributedCOM
469,3,2026-01-06 16:07:10.722616+00:00,10016,Microsoft-Windows-DistributedCOM
470,3,2026-01-06 16:07:10.747618+00:00,10016,Microsoft-Windows-DistributedCOM
